listing_id,player_id,seller_club_id,asking_fee_krw,listed_date,status
49,20230067,4,600000000,2026-01-01,listed
50,20170182,4,600000000,2026-01-01,listed
51,20200146,5,1050000000,2026-01-01,listed
52,20210161,5,1350000000,2026-01-01,listed
53,20160079,5,750000000,2026-01-01,listed
54,20260024,5,750000000,2026-01-01,listed
55,20230053,6,600000000,2026-01-01,listed
56,20260162,6,600000000,2026-01-01,listed
57,20190064,6,675000000,2026-01-01,listed
58,20220279,6,600000000,2026-01-01,listed
59,20260161,6,600000000,2026-01-01,listed
60,20250087,7,750000000,2026-01-01,listed
61,20190375,7,675000000,2026-01-01,listed
62,20240078,7,1200000000,2026-01-01,listed
63,20250093,8,675000000,2026-01-01,listed
64,20260294,8,1050000000,2026-01-01,listed
65,20260228,8,1350000000,2026-01-01,listed
66,20160156,8,750000000,2026-01-01,listed
67,20240323,8,600000000,2026-01-01,listed
68,20260222,8,600000000,2026-01-01,listed
69,20260109,9,900000000,2026-01-01,listed
70,20170122,10,1125000000,2026-01-01,listed
71,20190041,10,750000000,2026-01-01,listed
72,20140041,10,600000000,2026-01-01,listed
73,20170173,10,1050000000,2026-01-01,listed
74,20260062,10,1200000000,2026-01-01,listed
75,20130248,10,900000000,2026-01-01,listed
76,20120148,10,825000000,2026-01-01,listed
77,20210176,10,1350000000,2026-01-01,listed
78,20230326,10,750000000,2026-01-01,listed
79,20190172,10,1050000000,2026-01-01,listed
80,20170097,10,675000000,2026-01-01,listed
81,20180324,11,600000000,2026-01-01,listed
82,20200317,11,675000000,2026-01-01,listed
83,20230198,11,600000000,2026-01-01,listed
84,20170022,11,975000000,2026-01-01,listed
85,20210124,11,825000000,2026-01-01,listed
86,20230332,11,825000000,2026-01-01,listed
87,20190154,11,600000000,2026-01-01,listed
88,20150030,13,675000000,2026-01-01,listed
89,20150101,13,600000000,2026-01-01,listed
90,20160122,13,450000000,2026-01-01,listed
91,20190115,13,412500000,2026-01-01,listed
92,20260270,13,1800000000,2026-01-01,listed
93,20250230,13,412500000,2026-01-01,listed
94,20160031,13,450000000,2026-01-01,listed
95,20190142,14,525000000,2026-01-01,listed
96,20190049,14,525000000,2026-01-01,listed
97,20240152,14,450000000,2026-01-01,listed
98,20220152,14,412500000,2026-01-01,listed
99,20100163,14,600000000,2026-01-01,listed
100,20210079,14,450000000,2026-01-01,listed
101,20180118,14,600000000,2026-01-01,listed
102,20240190,14,825000000,2026-01-01,listed
103,20230316,14,412500000,2026-01-01,listed
104,20230163,14,825000000,2026-01-01,listed
105,20210291,14,450000000,2026-01-01,listed
106,20140081,14,412500000,2026-01-01,listed
107,20200035,14,450000000,2026-01-01,listed
108,20160115,14,1050000000,2026-01-01,listed
109,20220114,14,525000000,2026-01-01,listed
110,20220145,14,1500000000,2026-01-01,listed
111,20240054,15,450000000,2026-01-01,listed
112,20250344,15,750000000,2026-01-01,listed
113,20220035,15,525000000,2026-01-01,listed
114,20210175,15,525000000,2026-01-01,listed
115,20250193,15,750000000,2026-01-01,listed
116,20250192,15,900000000,2026-01-01,listed
117,20200019,15,525000000,2026-01-01,listed
118,20210138,15,450000000,2026-01-01,listed
119,20240301,15,412500000,2026-01-01,listed
120,20260323,15,825000000,2026-01-01,listed
121,20250294,16,900000000,2026-01-01,listed
122,20260136,16,750000000,2026-01-01,listed
123,20220086,16,675000000,2026-01-01,listed
124,20250358,16,600000000,2026-01-01,listed
125,20200136,17,825000000,2026-01-01,listed
126,20180128,17,450000000,2026-01-01,listed
127,20220106,17,825000000,2026-01-01,listed
128,20250222,17,900000000,2026-01-01,listed
129,20260153,17,675000000,2026-01-01,listed
130,20150035,17,525000000,2026-01-01,listed
131,20260159,17,600000000,2026-01-01,listed
132,20170283,17,600000000,2026-01-01,listed
133,20260096,18,600000000,2026-01-01,listed
134,20200089,18,525000000,2026-01-01,listed
135,20260097,18,600000000,2026-01-01,listed
136,20190291,18,675000000,2026-01-01,listed
137,20160096,18,450000000,2026-01-01,listed
138,20190139,18,600000000,2026-01-01,listed
139,20260098,18,3000000000,2026-01-01,listed
140,20160065,18,412500000,2026-01-01,listed
141,20180125,19,487500000,2026-01-01,listed
142,20160011,19,412500000,2026-01-01,listed
143,20170175,19,412500000,2026-01-01,listed
144,20230147,19,900000000,2026-01-01,listed
145,20260146,19,675000000,2026-01-01,listed
146,20250283,19,675000000,2026-01-01,listed
147,20180111,20,412500000,2026-01-01,listed
148,20260282,20,1200000000,2026-01-01,listed
149,20260206,20,450000000,2026-01-01,listed
150,20110138,20,600000000,2026-01-01,listed
151,20210152,20,562500000,2026-01-01,listed
152,20140032,20,825000000,2026-01-01,listed
153,20250350,21,600000000,2026-01-01,listed
154,20180204,21,450000000,2026-01-01,listed
155,20110157,21,450000000,2026-01-01,listed
156,20210167,21,412500000,2026-01-01,listed
157,20200056,22,487500000,2026-01-01,listed
158,20100058,22,412500000,2026-01-01,listed
159,20250232,22,600000000,2026-01-01,listed
160,20190058,22,600000000,2026-01-01,listed
161,20240245,23,825000000,2026-01-01,listed
162,20260288,24,675000000,2026-01-01,listed
163,20260117,24,525000000,2026-01-01,listed
164,20170171,25,450000000,2026-01-01,listed
165,20110158,25,562500000,2026-01-01,listed
166,20260173,26,450000000,2026-01-01,listed
167,20260195,27,1050000000,2026-01-01,listed
168,20200134,28,487500000,2026-01-01,listed
169,20200079,28,450000000,2026-01-01,listed
170,20260273,29,525000000,2026-01-01,listed
171,20250345,29,750000000,2026-01-01,listed

